Feature,Publish,A30,A20,A15,A10,A200,A100,"A Special",DA10,DA100,List Order
BT,No,NA,NA,NA,NA,NA,NA,AptX-Lossless,AptX-Lossless,AptX-Lossless,107
ARC,No,NA,NA,NA,NA,NA,NA,"Yes","Yes","Yes",108
AES-EBU IN,No,NA,NA,NA,NA,NA,NA,"1x","1x","1x",109
I2S IN,No,NA,NA,NA,NA,NA,NA,"-","1x","1x",110
USB IN,No,NA,NA,NA,NA,NA,NA,"1x","1x","1x",111
External Clock IN,No,NA,NA,NA,NA,NA,NA,"10Mhz BNC","10Mhz BNC","10Mhz BNC",112
Coaxial OUT,No,NA,NA,NA,NA,NA,NA,"1x","-","-",113
USB OUT,No,NA,NA,NA,NA,NA,NA,"1x","-","-",114
Headphone Amp,No,Yes,Yes,Yes,Yes,Yes,Yes,"Yes","Yes","Yes",115
USB 3.0,No,NA,NA,NA,NA,NA,NA,"2x for external storage","-","-",116
"12V Trigger OUT",No,NA,NA,NA,NA,NA,NA,"1x for external equipment","1x for external equipment","1x for external equipment",117
"12V Trigger IN",No,NA,NA,NA,NA,NA,NA,"-","1x from external equipment","1x from external equipment",118
OS,No,NA,NA,NA,NA,NA,NA,"Debian 11 (booting time < 20 seconds)","Debian 11 (booting time < 20 seconds)","Debian 11 (booting time < 20 seconds)",119
Streaming Support,No,NA,NA,NA,NA,NA,NA,"G-cast / Tidal Connect/ Spotify Connect","G-cast / Tidal Connect/ Spotify Connect","G-cast / Tidal Connect/ Spotify Connect",120
Music Client,No,NA,NA,NA,NA,NA,NA,Aurender Conductor,Aurender Conductor,Aurender Conductor,121
Decoding spec,No,NA,NA,NA,NA,NA,NA,"PCM 32bit/768Khz, DSD1024 (native)","PCM 32bit/768Khz, DSD1024 (native)","PCM 32bit/768Khz, DSD1024 (native)",122
Buttons/ Jog,No,NA,NA,NA,NA,NA,NA,"1x Power/ 7x Buttons/ 1x Volume Jog","1x Power/ 7x Buttons/ 1x Volume Jog","1x Power/ 7x Buttons/ 1x Volume Jog",123
